author,birth_death
Dharmakirti,(c. 7th century)
Dickinson Miller,(1868–1963)
Dietrich Bonhoeffer,(1906–1945)
Dietrich of Freiberg,(13th century)
Dignaga,(c. 480–c. 540)
Dimitri Pisarev,(1840–1868)
Dimitri Uznadze,(1886–1950)
Diodorus Cronus,(3rd century BC)
Diogenes Laërtius,(3rd century)
Diogenes of Apollonia,(c. 460 BC)
Diogenes of Babylon,(c. 230–c. 150/140 BC)
Diogenes of Oenoanda,(2nd century)
Diogenes the Cynic of Sinope,(412–323 BC)
Dirk Benedict,(born 1945)
Dogen Zenji,(1200–1253)
Domenico Losurdo,(1941–2018)
Domingo Báñez,(1528–1604)
Domingo de Soto,(1494–1560)
Donald Cary Williams,(1899–1983)
Donald Davidson,(1917–2003)
Dong Zhongshu,(c. 176–c. 104)
Dorion Cairns,(1901–1973)
Dorothy Maud Wrinch,(1894–1976)
Dugald Stewart,(1753–1828)
Duns Scotus,(c. 1266–1308)
Durandus of St. Pourçain,(c. 1275–1334)
Désiré-Joseph Mercier,(1851–1926)
Edgar Morin,(born 1921)
Edgar S. Brightman,(1884–1953)
Edith Stein,(1891–1942)
Edmund Burke,(1729–1797)
Edmund Gettier,(1927–2021)
Edmund Gurney,(1847–1888)
Edmund Husserl,(1859–1938)
Edmund Montgomery,(1835–1911)
Edouard Louis Emmanuel Julien Le Roy,(1870–1954)
Eduard Bernstein,(1850–1932)
Eduard Hanslick,(1825–1904)
Eduard Von Hartmann,(1842–1906)
Eduard Zeller,(1814–1908)
Eduardo Rabossi,(1930–2005)
Edvard Westermarck,(1862–1939)
Edward Bullough,(1880–1934)
Edward Caird,(1835–1908)
Edward Carpenter,(1844–1929)
Edward Gibbon,(1737–1794)
"Edward Herbert, 1st Baron Herbert of Cherbury",(1583–1648)
Edward N. Zalta,(born 1952)
Edward Stachura,(1937–1979)
Edwin Holt,(1873–1946)
Ehrenfried Walther von Tschirnhaus,(1651–1708)
Eli Siegel,(1902–1978)
Elias,(6th century)
Elihu Palmer,(1764–1806)
Elijah Delmedigo,(1460–1497)
Elisabeth of Bohemia,(1618–1680)
Elliott Sober,(born 1948)
Emanuel Swedenborg,(1688–1772)
Emerich de Vattel,(1714–1767)
Emil Brunner,(1889–1966)
Emil Cioran,(1911–1995)
Emil Fackenheim,(1916–2003)
Emil Leon Post,(1897–1954)
Emil du Bois-Reymond,(1818–1896)
Emile Boutroux,(1845–1921)
Emile Meyerson,(1859–1933)
Emmanuel Levinas,(1906–1995)
Emmanuel Mounier,(1905–1950)
Empedocles,(490 BC–430 BC)
Enrique Dussel,(born 1934)
Enrique Molina Garmendia,(1871–1962)
Epicharmus,(c. 540–450 BC)
Epictetus,(AD 55–c. 135)
Epicurus,(341 BC–270 BC)
Erasmus Darwin,(1731–1802)
Eric Voegelin,(1901–1985)
Erich Frank,(1883–1949)
Erich Fromm,(1900–1980)
Ernest Nagel,(1901–1985)
Ernest Sosa,(born 1940)
Ernest Wamba dia Wamba,(1942–2020)
"Ernesto ""Che"" Guevara",(1928–1967)
Ernesto Laclau,(1935–2014)
Ernst Bloch,(1885–1977)
Ernst Cassirer,(1874–1945)
Ernst Haeckel,(1834–1919)
Ernst Jünger,(1895–1998)
Ernst Laas,(1837–1885)
Ernst Mach,(1838–1916)
Ernst Mally,(1879–1944)
Ernst Mayr,(1904–2005)
Ernst Troeltsch,(1865–1923)
Ernst Tugendhat,(born 1930)
Ernst Zermelo,(1871–1953)
Errico Malatesta,(1853–1932)
Erwin Rohde,(1845–1898)
Erwin Schrödinger,(1887–1961)
Eudoxus of Cnidus,(410/408 BC–355 or 347 BC)
Eugen Dühring,(1833–1921)
Eugen Fink,(1905–1975)
Eugen Rosenstock-Huessy,(1888–1973)
Eusebius of Caesarea,(264–339)
Evald Vassilievich Ilyenkov,(1924–1979)
Evander Bradley McGilvary,(1864–1953)
F. C. S. Schiller,(1864–1937)
F. H. Bradley,(1846–1924)
Fakhr al-Din al-Razi,(1149–1209)
Fazang,(643–712)
Felix Krueger,(1874–1948)
Felix Ravaisson-Mollien,(1813–1900)
Felix Weltsch,(1884–1964)
Feng Youlan,(1895–1990)
Ferdinand Lassalle,(1825–1864)
Ferdinand de Saussure,(1857–1913)
Fernando Savater,(born 1947)
Florian Znaniecki,(1882–1958)
Francesco Bonatelli,(1830–1911)
Francesco Patrizi da Cherso,(1529–1597)
Francesco Silvestri,(1474–1528)
Francesco de Sanctis,(1817–1883)
Francis Bacon,(1561–1626)
Francis Hutcheson,(1694–1746)
Francis Parker Yockey,(1917–1960)
Francis of Marchia,(ca. 1290–ca. 1344)
Francis of Meyronnes,(1285–1328)
Francisco Romero,(1891–1962)
Francisco Sanches,(1551–1623)
Francisco Suárez,(1548–1617)
Francisco Varela,(1946–2001)
Francisco de Toledo,(1515–1584)
Francisco de Vitoria,(1492–1546)
Franciscus Mercurius van Helmont,(1614–1698)
Frank Jackson,(born 1943)
Frank P. Ramsey,(1903–1930)
Frans Hemsterhuis,(1721–1790)
Frantisek Weyr,(1879–1951)
Frantz Fanon,(1925–1961)
Franz Brentano,(1838–1917)
Franz Jakubowski,(1912–1970)
Franz Kafka,(1883–1924)
Franz Rosenzweig,(1886–1929)
Franz Xaver von Baader,(1765–1841)
François Bernier,(1620–1688)
François Poullain de la Barre,(1647–1723)
François Rabelais,(1493–1553)
François de La Mothe Le Vayer,(1588–1672)
François de La Rochefoucauld,(1613–1680)
François de Salignac de la Mothe-Fénelon,(1651–1715)
François-René de Chateaubriand,(1768–1848)
Fred Dretske,(1932–2013)
Frederick Douglass,(1818–1895)
Frederick Robert Tennant,(1866–1957)
Fredric Jameson,(born 1934)
Friedrich Adolf Trendelenburg,(1802–1872)
Friedrich Albert Lange,(1828–1875)
Friedrich Carl von Savigny,(1779–1861)
Friedrich Eduard Beneke,(1798–1854)
Friedrich Engels,(1820–1895)
Friedrich Fröbel,(1782–1852)
Friedrich Gogarten,(1887–1968)
Friedrich Hayek,(1899–1992)
Friedrich Heinrich Jacobi,(1743–1819)
Friedrich Hölderlin,(1770–1843)
Friedrich Jodl,(1849–1914)
Friedrich Meinecke,(1862–1954)
Friedrich Nietzsche,(1844–1900)
Friedrich Paulsen,(1846–1908)
Friedrich Schelling,(1775–1852)
Friedrich Schiller,(1759–1805)
Friedrich Schlegel,(1772–1829)
Friedrich Schleiermacher,(1768–1834)
