author,birth,death
Guy Leclercq,xxe siècle,
Guy Robert,1933,2000
Guy de Maupassant,1850,1893
Guy-Marie Oury,,
Gwenaëlle Aubry,1971,
Gyp,1849,1932
Géo Norge,1898,1990
Gérard Adam,1946,
Gérard Bessette,1920,2005
Gérard Klein,1937,
Gérard Vincent (auteur),1953,
Gérard de Nerval,1808,1855
Hajar Azell,1992,
Hector Malot,1830,1907
Hector de Saint-Denys Garneau,1912,1943
Hedia Bensahli,1962,
Henri Barbusse,1873,1935
Henri Bernstein,1876,1953
Henri Bosco,1888,1976
Henri Béraud,1885,1958
Henri Charrière,1906,1969
Henri Estienne,1528,1598
Henri Guillemin,1903,1992
Henri Lœvenbruck,1972,
Henri Michaux,1899,1984
"Henri Petiot, dit Daniel-Rops",1901,1965
Henri Poincaré,1854,1912
Henri Pourrat,1887,1959
Henri Queffélec,1910,1992
Henri Troyat,1911,2007
Henri Vincenot,1912,1985
Henri d'Andeli,1220,1240
Henri de Régnier,1864,1936
Henri-Frédéric Amiel,1821,1881
Henri-Raymond Casgrain,1831,1904
Henry Bauchau,1913,2012
Henry Bordeaux,1870,1963
Henry Cormeau,1866,1929
Henry Gréville,1842,1902
Henry Monnier,1799,1877
Henry de Monfreid,1879,1974
Henry de Montherlant,1895,1972
Herménégilde Chiasson,1946,
Hervé Bazin,1911,1996
Hervé Fischer,1941,
Hervé Guibert,1955,1991
Hervé Le Tellier,1957,
Hervé Mestron,1963,
Hicham Nazzal,,
Honorat de Bueil de Racan,1589,1670
Honoré Beaugrand,1848,1906
Honoré de Balzac,1799,1859
Hubert Aquin,1929,1977
Hubert Reeves,1932,
Hugues Corriveau,1948,
Hégésippe Moreau,1810,1838
Hélène Bessette,1918,2000
Hélène Duffau,1965,
Hélène Gestern,1971,
Hélène Monette,1960,
Hélène de Monferrand,1947,
Ian Soliane,1966,
Irène Frain,1950,
Irène Hamoir,1906,1994
Isaac Moumé Etia,1889,1939
Isabelle Desesquelles,1968,
Isabelle Eberhardt,1877,1904
Isabelle de Charrière,1740,1805
J.M. Erre,1971,
Jack Thieuloy,1931,1996
Jacqueline Harpman,1929,
Jacques Abbadie,1654,1727
Jacques Amyot,1513,1593
Jacques Audiberti,1899,1965
Jacques Bainville,1879,1936
Jacques Cazotte,1719,1792
Jacques Chardonne,1884,1968
Jacques Choffel,1915,1996
Jacques Drillon,1954,
Jacques Duquesne,1930,
Jacques Dyssord,1880,1952
Jacques Godbout,1933,
Jacques Godron,,
Jacques Izoard,1936,2008
Jacques Jouet,1947,
Jacques Lacarrière,1925,2005
Jacques Lacoursière,1932,
Jacques Lanzmann,1927,2006
Jacques Leclerc,xxe siècle,
Jacques Lefèvre d'Étaples,1455,1536
Jacques Lusseyran,1924,1976
Jacques Poulin,1937,
Jacques Prado,1889,1928
Jacques Prévert,1900,1977
Jacques Rigaut,1898,1929
Jacques Ruffié,1921,2004
Jacques Séguéla,1934,
Jacques de Bourbon Busset,1912,2001
Jacques de Lacretelle,1888,1985
Jacques-Arnaud Penent,1943,1994
Jacques-Bénigne Bossuet,1677,1704
Jacques-François Ancelot,1794,1854
Jacques-Henri Bernardin de Saint-Pierre,1737,1814
Jacques-Pierre Amée,1953,
Jan J. Dominique,1953,
Janick Belleau,1946,
Janine Boissard,1932,
Jean Aicard,1848,1921
Jean Ajalbert,1862,1947
Jean Amrouche,1906,1962
Jean Anglade,1915,
Jean Aubert,1921,
Jean Baptiste Lefebvre de Villebrune,1732,1809
Jean Baudrillard,1929,2007
Jean Beck,1881,1943
Jean Bodel,1165,1210
Jean Bouchet,1476,1550
Jean Breton,1930,2006
Jean Calvin,1509,1564
Jean Cocteau,1889,1963
Jean Giraudoux,1882,1944
Jean Guéhenno,1890,1978
Jean Hamburger,1909,1992
Jean Jouvenel des Ursins,1360,1431
Jean Le Marchant,xiiie siècle,
Jean Le Moyne,1913,1996
Jean Le Rond d'Alembert,1717,1783
Jean Lemaire de Belges,1473,1524
Jean Lescure,1912,2005
Jean Lorrain,1855,1906
Jean Louis Armand de Quatrefages de Bréau,1810,1892
Jean Malaquais,1908,1998
Jean Marot,1450,1526
Jean Marquet,1883,1854
Jean Molinet,1435,1507
Jean Morzadec,1953,
Jean Muno,1924,1988
Jean Métellus,1937,
Jean Papire Masson,1544,1611
Jean Passerat,1534,1602
Jean Plançon,1964,
Jean Racine,1639,1699
Jean Renaut,xiie siècle,xiiie siècle
Jean Rostand,1894,1977
Jean Simard,1916,
Jean Sénac,1926,1973
Jean Tardieu,1903,1995
Jean Vauquelin de La Fresnaye,1536,1606
Jean Vauthier,1910,1992
Jean Vautrin,1933,2015
Jean Venturini,1919,1940
Jean Ziegler,1934,
Jean d'Ormesson,,
Jean de Joinville,1224,1317
Jean de La Bruyère,1645,1696
Jean de La Fontaine,1621,1695
Jean de La Varende,1887,1959
Jean de Meung,1240,1305
Jean de Sponde,1557,1595
Jean des Vallières,1895,1970
Jean le Bel,1290,1370
Jean-Baptiste Boyer d'Argens,1703,1771
Jean-Baptiste Gresset,1709,1777
Jean-Baptiste Louis de La Roche,1700,1780
Jean-Baptiste Massillon,1663,1742
Jean-Baptiste Rousseau,1670,1741
Jean-Baptiste-Antoine Ferland,1805,1865
Jean-Bernard Pouy,1946,
Jean-Charles,1922,2003
Jean-Charles Harvey,1891,1967
Jean-Charles Massera,1965,
Jean-Christophe Chaumette,1961,
Jean-Christophe Rufin,1952,
Jean-Claude Carrière,1931,
Jean-Claude Clari,1943,
Jean-Edern Hallier,1936,1997
Jean-François Champollion,1790,1832
Jean-François Deniau,1928,2007
Jean-François Regnard,1655,1709
Jean-Jacques Ampère,1800,1864
Jean-Jacques Pelletier,1947,
Jean-Jacques Rousseau,1712,1778
Jean-Louis Curtis,1917,1995
Jean-Louis Roy,1941,
Jean-Luc Dubart,1976,
Jean-Luc Raharimanana,1967,
Jean-Marc Dhainaut,1973,
Jean-Marc Parisis,1962,
Jean-Marie Déguignet,1834,1905
Jean-Marie Gustave Le Clézio,1940,
Jean-Marie Piemme,1944,
Jean-Paul Desbiens,1927,2006
Jean-Paul Sartre,1905,1980
Jean-Philippe Cazier,1966,
Jean-Philippe Toussaint,1957,
Jean-Pierre Claris de Florian,1755,1794
Jean-Pierre Desthuilliers,1939,
